Year;Authors;Title;Case_ID;Pesticide type;Biome;Organism group;Response;Response level;Number of studies;Number of observations;Response measure;Mean;Effect direction;Variance measure;Lower value;Upper value;Stat_Sign_Based_on_CI;Only_authorised
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Plants;Reproduction;Population;3;7;Natural log response ratio;0.04;positive;95% CI;-0.77;0.86;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Microorganisms;Reproduction;Population;3;5;Natural log response ratio;-0.12;negative;95% CI;-0.73;0.5;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Animals;Reproduction;Population;7;27;Natural log response ratio;-0.22;negative;95% CI;-0.68;0.2;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Plants;Growth;Population;9;108;Natural log response ratio;-0.16;negative;95% CI;-0.49;0.16;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Plants;Reproduction;Population;3;30;Natural log response ratio;-0.43;negative;95% CI;-1.07;0.19;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Microorganisms;Reproduction;Population;8;60;Natural log response ratio;-0.32;negative;95% CI;-0.74;0.05;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Animals;Growth;Population;31;202;Natural log response ratio;0.06;positive;95% CI;-0.13;0;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Animals;Reproduction;Population;50;295;Natural log response ratio;-0.36;negative;95% CI;-0.43;-0.29;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Plants;Growth;Population;7;15;Natural log response ratio;-0.4;negative;95% CI;-0.59;-0.23;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Plants;Reproduction;Population;4;24;Natural log response ratio;-0.68;negative;95% CI;-0.89;-0.45;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Microorganisms;Growth;Population;4;13;Natural log response ratio;-0.09;negative;95% CI;-0.32;0.18;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Aquatic;Animals;Growth;Population;9;38;Natural log response ratio;-0.05;negative;95% CI;-0.14;0.05;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Aquatic;Animals;Reproduction;Population;9;32;Natural log response ratio;-0.22;negative;95% CI;-0.34;-0.08;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Animals;Growth;Population;23;110;Natural log response ratio;-0.03;negative;95% CI;-0.07;0;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Animals;Reproduction;Population;19;70;Natural log response ratio;-0.19;negative;95% CI;-0.27;-0.11;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Plants;Growth;Population;19;145;Natural log response ratio;-0.26;negative;95% CI;-0.35;-0.18;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Plants;Reproduction;Population;11;35;Natural log response ratio;-0.49;negative;95% CI;-0.62;-0.37;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Microorganisms;Growth;Population;7;23;Natural log response ratio;-0.07;negative;95% CI;-0.25;0.1;Y;N
